ID,patent_title,patent_year,patent_abstract,label
675,Breast cancer resistance protein (BCRP) antibodies,2010,"The Breast Cancer Resistance Protein is described, as well as the cDNA encoding said protein. This protein has been found to confer resistance to cancer chemotherapeutic drugs.",True
676,Human lymphocyte medium adjuvant,2010,"The present invention relates to an adjuvant derived from human lymphocytes. The adjuvant can be used in combination with traditional vaccines or cancer immunotherapy, to enhance the response of the patient's immune system to the vaccine or other immunotherapeutic agent. The adjuvant is derived from the supernatant collected from cultured activated lymphocytes.",True
677,Affinity membrane for capture of a target biomolecule and formation thereof by site-directed immobilization of a capture biomolecule,2010,"Compositions and methods are taught for directing the orientation of an immobilized capture biomolecule on a hydrophobic membrane. The method comprises layering at least one tie layer on a hydrophobic membrane, adding an amine functional layer on top of at least one tie layer; and attaching an alignment biomolecule to the amine functional layer. The alignment biomolecule has the ability to either capture a target biomolecule itself and thus be considered a capture biomolecule, or bind and orient the immobilized capture biomolecule so as to maximize the binding activity of the immobilized capture biomolecule. In one embodiment, a nickel-coordinated amine functional layer binds with a histidine-tagged alignment biomolecule. In another embodiment, an amine functional layer reacts, via tyrosinase catalysis, with a tyrosine residue in an alignment biomolecule.",False
678,System and methods for assessing risk using hybrid causal logic,2010,"A hybrid causal framework applies properties of probabilistic models, such as Bayesian belief networks, to causal logic models, such as fault trees and event sequence diagrams. The probabilistic model establishes a joint probability distribution of causal relationships between events and conditions in the logic models. The probability of the events and conditions are found by propagating probabilities from the probabilistic model through the logic models.",True
679,Ambulatory aid with step counter,2010,"A step-counting ambulatory aid having a ground-contacting surface, which aid comprises a pressure-sensitive switch on the ground-contacting surface and a data recorder located elsewhere on the aid, wherein the pressure-sensitive switch is activated upon contact of the ground-contacting surface of the aid with ground, whereupon the pressure-sensitive switch sends a signal to the data recorder, which records the signal as a step; a method of counting the number of steps taken by a user of an ambulatory aid comprising having the user use an ambulatory aid equipped with a step counter; and a method of establishing a therapeutic regimen for a patient in need of an ambulatory aid comprising determining the number of steps that the patient should take during a set period of time, providing the patient with an ambulatory aid equipped with a step counter, and instructing the patient to take the determined number of steps with the ambulatory aid during the set period of time.",False
680,Radiative decay engineering,2010,"Compositions and methods for increasing the fluorescence intensity of molecules are provided. In particular, compositions and methods directed to increasing the intrinsic fluorescence of biomolecules and low quantum yield fluorophores are described. The intrinsic fluorescence of biomolecules is increased by positioning a metal particle and a biomolecule at a distance apart sufficient to increase the radiative decay rate of the biomolecule. Methods for the identification of nucleic acids are also provided. The compositions and methods can also be used to increase the emission of any fluorophore, such as the extrinsic probes used to label biomolecules.",True
681,Agonist polypeptide of receptor for ZOT and zonulin,2010,"Agonist polypeptide of a receptor protein has been identified. The agonist can be used to facilitate drug and antigen absorption. Suitable routes of administration include oral, nasal, transdermal, and intravenous. Pharmaceutical formulations may comprise a therapeutic agent or an immunogenic agent in combination with the agonist polypeptide.",True
682,Method and system for controllable deposition of nanoparticles on a substrate,2010,"In a method and system for controllable electrostatic-directed deposition of nanoparticles from the gas phase on a substrate patterned to have p-n junction(s), a bias electrical field is reversely applied to the p-n junction, so that uni-polarly charged nanoparticles are laterally confined on the substrate by a balance of electrostatic, van der Waals and image forces and are deposited on a respective p-doped or n-doped regions of the p-n junction when the applied electric field reaches a predetermined strength. The novel controllable deposition of nanoparticles employs commonly used substrate architectures for the patterning of an electric field attracting or repelling nanoparticles to the substrates and offers the opportunity to create a variety of sophisticated electric field patterns which may be used to direct particles with greater precision.",False
683,Spatially selective deposition of polysaccharide layer onto patterned template,2010,"A method is provided for electrochemically depositing a polymer with spatial selectivity. A substrate having a substrate surface is contacted with an aqueous solution containing a selectively insolubilizable polysaccharide, such as chitosan, which is subjected to electrochemically treatment to deposit, with spatial selectivity, the selectively insolubilizable polysaccharide on a patterned electrically conductive portion of the substrate surface.",False
684,System and method for damping vibrations in elevator cables,2010,A vibration damped elevator system is provided that includes a damper or dampers attached to the elevator cable. The damping coefficients of the damper or dampers are chosen to provide optimum dissipation of the vibratory energy in the elevator cable. A method of determining the optimum placement of the damper or dampers and their respective damping coefficients is also provided.,False
685,"Instrument and method for X-ray diffraction, fluorescence, and crystal texture analysis without sample preparation",2010,An X-ray diffraction and X-ray fluorescence instrument for analyzing samples having no sample preparation includes a X-ray source configured to output a collimated X-ray beam comprising a continuum spectrum of X-rays to a predetermined coordinate and a photon-counting X-ray imaging spectrometer disposed to receive X-rays output from an unprepared sample disposed at the predetermined coordinate upon exposure of the unprepared sample to the collimated X-ray beam. The X-ray source and the photon-counting X-ray imaging spectrometer are arranged in a reflection geometry relative to the predetermined coordinate.,False
686,Breast cancer resistance protein (BCRP) and antibodies thereto,2010,"The present invention provides a breast cancer resistance polynucleotide and protein of Macaca mulata (rhesus monkey) and uses thereof. The present invention also provides anti-BCRP antibodies and uses thereof, particularly as a hematopoietic stem cell marker.",True
687,Tumor cells from immune privileged sites as base cells for cell-based cancer vaccines,2010,"The present invention relates to tumor cell-based vaccines and methods of using same, wherein the vaccines are based on naturally immune privileged tumor cells that have been genetically modified to express MHC-II restricted peptides derived from endogenously encoded tumor antigens, activate CD4+ T-lymphocytes, provide an array of antigens to which the host is not tolerized and/or induce immunity against the originating tumor cells as well as against metastatic tumor cells.",True
688,Apparatus and method for providing optimal concentrations for medication infusions,2010,"Optimum concentrations for a drug administered as a medical infusion to a patient, particularly a pediatric patient, are determined. The determination is made using inputs regarding (1) the drug to be administered; (2) the patient; and (3) the infusion process. The optimum concentrations are displayed to a user, such as any health care provider. A chart illustrating the distributions of concentrations over a range of doses and patient weights is also provided.",True
689,Method for fingerprinting multimedia content,2010,"To identify participants in collusion directed to altering a digital fingerprint embedded in multimedia content, an ECC based fingerprinting technique establishes a code symbol for each of a plurality of segments of digital data forming the multimedia content. The code symbols are concatenated to form a fingerprint signal, which is subdivided into a plurality of subsegments for each segment in the digital data. The subsegments are permuted and embedded into the digital data. When a suspicious copy of the multimedia content is discovered, the permuted fingerprint signal is extracted from the content and inversely permuted to form a test fingerprint. The identity of one of the colluders is determined by correlation with characteristics of the codeword originally assigned to the user. The determination of identity may be enhanced by the addition of group data embedded as an additional fingerprint in the digital data. Joint consideration of coding and embedding provide benefits over previous fingerprinting techniques.",False
690,Method for concealing data in curves of an image,2010,"A method of concealing data in images imperceptibly alters curves therein, such as through adding a value representing the data to be hidden to each of a number of B-spline control points representing the original curve. The altered control points characterize the imperceptibly altered curve, which replaces the original curve in the image. The altered control points may be later extracted from the image and compared with the original control points to determine the hidden value. Prudent selection of the values altering the control points as well as an iterative alignment-minimization algorithm in the detection process provides protection against numerous techniques for preventing the hidden values from being recovered.",False
691,Biolithographical deposition and materials and devices formed therefrom,2010,"A method for biolithographical deposition of molecules is provided. According to an embodiment of the method, a reactive layer (e.g., a polysaccharide mass) having a surface region coated with a biologically compatible resist is provided. A portion of the biologically compatible resist is selectively removed to expose an exposed portion of the reactive layer. Molecules, such as biomolecules and/or cellular species, are then conjugated to the exposed portion of the reactive layer. Also provided are materials and devices related to the method.",False
692,Adaptive energy absorption system for a vehicle seat,2010,"An adaptive energy absorption system for a vehicle seat is disclosed, utilizing an adaptive energy absorber or variable profile energy absorber (VPEA) for mitigating occupant injury due to extreme vehicle movement (e.g., during a vehicle shock event), and/or for mitigating vibration experienced by an occupant of the vehicle seat during normal vehicle operating conditions. The adaptive energy absorption system achieves the aforementioned objectives for a wide range of occupant weights and load levels. Various configurations of dual-goal energy absorption apparatuses that enable both shock mitigation and vibration isolation are disclosed.",False
693,Low-impact delivery system for in situ treatment of contaminated sediment,2010,"An agglomerate for use in economical bulk treatment of contaminated sediments with minimal environmental impact is formed from a sorbent, bentonite clay and sand. The agglomerate has sufficient density so as to sink through a water column into sediment below the water column and is still sufficiently light as to be capable of mixing with the sediment when subjected only to bioturbation. The agglomerate can be formed into pellets and applied to a water column over contaminated sediment by broadcast methods, so as to permit economical remediation of contaminated sediment with negligible environmental impact.",False
694,Engineered proteases for affinity purification and processing of fusion proteins,2010,The present invention is directed to the identification of a protease prodomain that is capable of binding a corresponding protease with high affinity. The protease prodomain of the present invention is fused to a second protein to form a protease prodomain fusion protein. The presence of a protease prodomain protein in a fusion protein allows for easy and selective purification of the second protein by incubation with the corresponding protease.,True
695,Communications protocol,2010,"The present invention relates to an improved communications protocol which increases the efficiency of transmission in return channels on a multi-channel slotted Alohas system by incorporating advanced error correction algorithms, selective retransmission protocols and the use of reserved channels to satisfy the retransmission requests.",True
696,Navigation system and method using modulated celestial radiation sources,2010,"A system and method for navigation utilizes sources of modulated celestial radiation. A spacecraft, satellite, or other vehicle (12) includes one or more modulated radiation sensors (22a-22x) for detecting a modulated signal (14) generated by one or more pulsars or other celestial objects (16). Pulse time of arrival at a respective pulse sensor (22a-22x) is measured by comparing the pulse signal (14) with a known pulse profile. A processor (30) calculates a timing difference between the measured pulse time of arrival at sensor (22a-22x) with a calculated pulse time of arrival at a selected reference point (100). Positions and pulse profile characteristics of the pulsars (16) are stored. Combining the calculated time difference with the known positions of pulsars (16), navigational parameters such as position, velocity, and attitude for spacecraft (12) with respect to the selected localized reference point (100) can be calculated.",False
697,Fluid-driven artificial muscles as mechanisms for controlled actuation,2010,"A fluid contact surface actuation system for a vehicle, including a first fluid contact surface constructed and arranged to act against a first fluid passing over the first fluid contact surface; and a first fluid actuator coupled to the first fluid contact surface to move the first fluid contact surface between a first position and a second position to enable control of the vehicle in a predetermined manner, the first fluid actuator having a first resilient bladder that receives a second fluid such that pressure of the second fluid moves the first bladder between a contracted configuration and an expanded configuration.",False
698,"Compositions and methods of use of EPB1, and ErbB3 binding protein",2010,"Inhibition of the proliferation of hormone refractory prostate cancer cells is achieved by administering EPB1, an ErbB3 binding protein, in combination with another anti-proliferation therapy such as administration of antiandrogens, other anticancer agents, radiation therapy, or surgery. Administration of EPB1 reverses the phenotype of hormone-resistant prostate cancer cells to hormone-sensitive prostate cancer cells.",True
699,Ethers of 3-hydroxyphenylacetic acid as selective gamma-hydroxybutyric acid receptor ligands,2010,"""The present invention generally relates to pharmaceutical compositions comprising ethers of 3-hydroxyphenylacetic acid. The present invention also relates to therapeutic uses of the ethers of 3-hydroxyphenylacetic acid. The ethers of 3-hydroxyphenylacetic acid have the chemical structural of formula (I):where R is an aromatic or arylalkyl substituent.""",True
700,Function of autophagy genes in cell death,2010,"The present invention relates to a new molecular pathway in which activation of the receptor-interacting protein (RIP, a serine-threonine kinase) and Jun N-terminal kinase induce cell death with the morphology of autophagy. Further, autophagic death is induced by caspase 8 inhibition and expression of the mammalian genes ATG7 and beclin.",True
701,ARC-sequencing technique for intensity modulated ARC therapy,2010,"The invention is directed to a radiation therapy method, and in particular, to a method of conducting an intensity modulated arc therapy (IMAT). The invention provides a planning technique that translates traditional static fixed-field IMRT plans into deliverable IMAT plans and allows IMAT to be realized as a routine clinical delivery technique.",False
702,Data hiding in compiled program binaries for supplementing computer functionality,2010,"Bit reductions in program instructions are achieved by determining the set of bit patterns in bit locations of the instructions. If only a subset of bit patterns is present in the instructions, they may be represented by an index value having a smaller number of bits. The index value may be substituted into the instruction and later used in decoding by referencing a corresponding bit pattern in a lookup table. The bit-reduction in the instruction makes way for supplemental data bits which may then be embedded.",False
703,Solid oxide fuel cell (SOFC) anode materials,2010,"The invention relates to compositions and composite particles that may be employed as anode materials for Solid Oxide Fuel Cells (SOFCs). The invention particularly relates to novel metallic SOFC anode materials, which preferably comprise metallic nickel (Ni), copper (Cu), especially if the Ni/Cu oxide has been stabilized with yttrium (Y) oxide (e.g., Y2O3) and/or zirconium (Zr) oxide (e.g., ZrO2) composition(s) (“YSZ”). Such compositions may additionally comprise a cerium (Ce) oxide (such as CeO2) (e.g., Ni/YSZ/CeO2). The invention particularly concerns such compositions and particles produced through the use of direct deposition or Flame Spray Pyrolysis so as to provide a controlled morphology and chemical composition.",True
704,Advanced selective plating media,2010,"Selective growth media N4 agars that include a combination of high levels of yeast extract, possibly higher levels of protein, elevated levels of sugar and reduced levels of sodium chloride. The combination of ingredients provides the ability to detect Salmonella spp. and Shigella spp. with almost identical sensitivity while alleviating false-negative and false-positive problems commonly encountered with the presence of Proteus spp. and Citrobacter spp.",False
705,Data communication with embedded pilot information for timely channel estimation,2010,"Pilot data and data-bearer data are formed to be mutually orthogonal and in each other's null-space. Data to be transmitted is first modulated with the data-bearer matrix and then pilot data is added thereto. The pilot data may be added to each modulated symbol, thereby increasing significantly the density of pilot information available at the receiver for channel state estimation. When pilot data is added across an entire transmitted block of data, data detection performance is improved for even fast fading Rayleigh fading channels.",False
706,Bilateral arm trainer and method of use,2010,"A device and method for bilateral upper extremity training for patients with a paretic upper extremity, the device facilitating cortical remodeling, sustained relearning, and improvement in functional outcomes in paretic and possibly non-paretic upper extremities. In one variation, the device includes a base, an adjustable chest plate for placing the user at a set distance from the device and isolating arm movement, an incline plate attached and inclinable relative to the base, two width plates adjustably attached to the incline plate, and two swivel plates adjustably attached to the width plates. In one variation, the swivel plates are swivalable relative to a fixed point in a plane parallel to the plane of the width plates. In another variation, the swivel plates are pivotably attached to the width plates. Other features of the device include a counter for counting user activity, and audible and visual cueing devices for facilitating sustained learning.",False
707,Method of operating an atomic force microscope in tapping mode with a reduced impact force,2010,"In a tapping mode Atomic Force Microscope (AFM) system, a probe is excited at an excitation frequency other than the probe's first natural frequency to produce a response signal manifesting a grazing bifurcation between “non-collision” and “collision” states of the AFM system, so that an additional characteristic frequency component is generated in the “collision” state. The magnitude of the additional characteristic frequency component is monitored in real time, and the probe-sample separation is adjusted to maintain the monitored magnitude at an optimal value to operate the AFM system at near-grazing conditions.",False
708,"Process for synthesis of (3R,3'R,6'R)-lutein and its stereoisomers",2010,"(3R,3′R,6′R)-Lutein and (3R,3′R)-zeaxanthin are two dietary carotenoids that are present in most fruits and vegetables commonly consumed in the US. These carotenoids accumulate in the human plasma, major organs, and ocular tissues. In the past decade, numerous epidemiological and experimental studies have shown that lutein and zeaxanthin play an important role in the prevention of age-related macular degeneration (AMD) that is the leading cause of blindness in the U.S. and Western World. The invention provides a process for the synthesis of (3R,3′R,6′R)-lutein and its stereoisomers from commercially available (rac)-α-ionone by a C15+C10+C15 coupling strategy. In addition, the present invention also provides access to the precursors of optically active carotenoids with 3-hydroxy-ε-end group that are otherwise difficult to synthesize. The process developed for the synthesis of lutein and its stereoisomers is straightforward and has potential for commercialization.",True
709,Compositions for down-regulation of CCR5 expression and methods of use thereof,2011,"The present invention relates to the downregulation of surface receptor CCR5 expression through manipulation of the cell cycle in activated lymphocytes by administering a composition that arrests the G1 phase of the cell cycle, thereby reducing receptor sites for entry of HIV into T cells, and thus, the effects of HIV. Further, compositions are disclosed that include at least one G1 phase arresting agent and at least one antiviral agent, wherein the combination of agents synergistically enhances the activity of the antiviral agent.",True
710,Methods for modulated degenerative transfer living polymerization and isotactic-atactic stereoblock and stereogradient poly(olefins) thereby,2011,"Methods for modulated degenerative transfer living polymerization and isotactic-atactic stereoblock and stereogradient poly(olefins) thereby Abstract A method of producing a multiblock, stereoblock polyolefin having substantially uniform microstructure is disclosed. The method includes contacting a Ziegler-Natta pre-catalyst with a co-catalyst and an olefin to polymerize the olefin and form a first stereoblock, adding a methyl donator that changes the stereoregularity of the polymerization, and polymerizing the olefin to form a second stereoblock. The methods of the present invention allow for the production of poly(olefin)s having predictable degrees of incorporation of stereoerrors of a known type. The methods allows for the production of a variety of poly(olefin) microstructures, ranging from stereoblock to stereogradient poly(olefin)s and poly(olefin)s having fully isotactic to fully atactic microstructures.",False
711,Methods for treating spinal cord injury with a compound that inhibits a NCCa-ATP channel,2011,"The present invention is directed to therapeutic compositions targeting the NCCa-ATP channel of an astrocyte, neuron or capillary endothelial cell and methods of using same. More specifically, antagonists of the NCCa-ATP channel are contemplated. The compositions are used to prevent cell death and to treat secondary damage associated with spinal cord injury.",True
712,System and method for magnetorheological-fluid damping utilizing porous media,2011,"A magnetorheological fluid damping system includes a hydraulic cylinder, a piston head, a piston rod, and a porous valve. The hydraulic cylinder is configured for disposing magnetorheological fluid therein. The piston head is disposed within the hydraulic cylinder and has first and second sides defining first and second chambers within the hydraulic cylinder. The piston head is configured to be in sliding engagement with the hydraulic cylinder. The piston rod is connected to the piston head. The porous valve includes a magnetorheological fluid pathway, has first and second fluid connections, and is configured to dampen the flow of the magnetorheological fluid between the first and second fluid connections in accordance with a magnetic field. The first fluid connection is fluidly connected to the first chamber and the second fluid connection is fluidly connected to the second chamber. The magnetorheological fluid pathway at least partially directs magnetorheological fluid flow through a porous media.",False
713,"C-17-heteroaryl steroidal CYP17 inhibitors/antiandrogens, in vitro biological activities, pharmacokinetics and antitumor activity",2011,"Described are steroidal C-17 benzoazoles, pyrimidinoazoles (azabenzoazoles) and diazines. Methods for their synthesis are also described, which include methods having a step of nucleophilic vinylic “addition-elimination” substitution reaction of 3β-acetoxy-17-chloro-16-formylandrosta-5,16-diene or analogs thereof and benzoazole or pyrimidinoazole nucleophiles and methods having a palladium catalyzed cross-coupling reaction of 17-iodoandrosta-5,16-dien-3β-ol or analogs thereof with tributylstannyl diazines. The compounds are potent inhibitors of human CYP 17 enzyme as well as potent antagonists of both wild type and mutant androgen receptors (AR). The compounds are useful for the treatment of human prostate cancer.",True
714,System and method for identifying behavioral signatures,2011,"Psychopharmacological properties of new therapeutic drugs and highly heritable behavior patterns of test subjects are identified based on analysis of monitored exploratory movement to identify behavioral signatures. A test subject in a pen is allowed to explore for a period of time, after injecting it with a candidate drug or control vehicle. The test subject's movement is monitored and its locations stored. The locations are analyzed to separate them into behavioral patterns that are defined based on combinations of behavioral feature. Relative frequencies of performing each behavioral pattern are determined. In each pattern, differences between the relative frequencies in the candidate drug and control groups are tested, and only patterns in which this difference is highly significant are retained. The number of behavioral patterns further is reduced based on the relative frequencies and the correlation of behavioral patterns to one another, with the cells left over corresponding to a set of endpoints that identify a behavioral signature of the effect of the drug.",False
715,Tree-to-graph folding procedure for systems engineering requirements,2011,A method is provided for generating a graph data representation having a plurality of nodes corresponding to respective systems engineering requirements. The method includes accessing a first data representation of a collection of systems requirements and relationships therebetween and generating a second data representation of the collection of systems requirements. The generating the second data representation includes accessing respective systems requirements of the collection of systems requirements; creating a node to correspond to each accessed systems requirement if a node corresponding to the accessed systems requirement does not exist; and creating an edge between the created or pre-existing node and each node corresponding to a systems requirement having a relationship with the accessed systems requirement. Each node of the second data representation is a node of said graph data representation and corresponds to a different systems requirement of the collection of systems requirements.,False
716,Adaptive energy absorption system for a vehicle seat,2011,"An adaptive energy absorption system for a vehicle seat is disclosed, utilizing an adaptive energy absorber or variable profile energy absorber (VPEA) for mitigating occupant injury due to extreme vehicle movement (e.g., during a vehicle shock event), and/or for mitigating vibration experienced by an occupant of the vehicle seat during normal vehicle operating conditions. Various configurations of dual-goal energy absorption apparatuses using both VPEA and fixed load energy absorbers (FLEAs) that enable both shock mitigation and vibration isolation are disclosed. A semi-active control absorption system, comprising a VPEA and FPEA configured to work in series, is also disclosed.",False
717,Techniques for determining the effects on a system of a component that has four states,2011,Techniques for determining effects on a biological system include determining rate constants for a particular time interval starting at an initial time. Each rate constant indicates a rate of transition from one of four states to a different one of the four states for a component of a biological system in presence of an external factor. A temporal change in a probability that the component is in a particular state after the initial time is determined without numerical iteration over multiple time steps. This includes determining three relaxation time constants that describe exponential changes based on the rate constants. The effect of the external factor on the biological system is determined based on the temporal change in the probability that the component is in the particular state. The probability at an arbitrary time is determined based on the rate constants and initial probabilities.,False
718,"Controlled electrochemical deposition of polysaccharide films and hydrogels, and materials formed therefrom",2011,"A method is provided for electrochemically depositing a polysaccharide mass having a selected physical state. According to an embodiment, an electrically conductive support of a substrate is contacted with an aqueous solution including a selectively insolubilizable polysaccharide, and the selectively insolubilizable polysaccharide is electrochemically deposited on the electrically conductive support while controlling deposition conditions to form the polysaccharide mass having the selected physical state, such as that of a hydrogel. Deposition may be performed in a spatially and/or temporally controlled manner.",False
719,Method of treating organophosphorous poisoning,2011,A method of treating organophosphorous (OP) poisoning comprising administering to a mammal at risk for OP poisoning an OP poisoning-inhibiting amount of galantamine.,True
720,Root cap specific promoter and methods of use in plants,2011,The invention provides an AtCel5 promoter isolated from Arabidopsis thaliana that is expressed exclusively in root cap cells of both primary and secondary roots. AtCel5 is believed to be a soluble and secreted protein that plays a role in the sloughing of root cap cells from the root tip. The sloughing of root cap cells from the root tip is important because it assists the growing root in penetrating the soil. The AtCel5 gene promoter provides a new molecular marker to further analyze the process of root cap cell separation and also provides a root cap specific promoter for targeting to the environment genes with beneficial properties for plant growth.,True
721,Corynephage integrase-based site-specific insertion vector system,2011,The present invention provides a system for site-specific directed gene insertion of desired genes or foreign DNA into cellular genomes. The system includes novel vectors for integrating DNA into the genome of different hosts. Methods of using the vectors and transformed hosts are described.,True
722,Control of apoptosis by controlling the propensity of ceramide channel formation,2011,"The present invention relates to a novel target to control the apoptotic process, and to the use of this target to identify compounds capable of affecting the apoptotic process, The invention also relates to the use of such identified compounds in the treatment of cancer, stroke, neurodegenerative diseases, viral diseases and other diseases and conditions involving apoptosis.",True
723,Apparatus and method for detecting and identifying raman signatures,2011,"In one aspect, a signal processing system includes a processor, an I/O device operatively associated with the processor, and a memory device bearing instructions configured to cause the processor to obtain a representation of signal data over a data domain and position a sliding-window over a portion of the signal data, such portion corresponding to a sliding-window domain, to analyze the signal data within the sliding-window domain to detect the presence of a signature multiplet and, based on the analysis of the data, to estimate the pedestal of the signal data within the sliding-window domain. The instructions also cause the processor to iteratively shift the sliding-window over at least a portion of the data domain to correspondingly shift the sliding-window domain, estimate the pedestal of the signal data within each sliding-window domain to determine an estimated pedestal over the portion of the data domain, to subtract the estimated pedestal from the signal data to yield a pedestal-free representation of the signal data for the portion of the data domain, and to output the pedestal-free representation of the signal data for the portion of the data domain to a communication device, display, printing device, or data storage device.",False
724,Plants with reduced expression of phosphatase type 2C gene for enhanced pathogen resistance,2011,"The present invention relates to a method for down regulating an Arabidopsis protein phosphatase type 2C gene, referred to as “defense-associated protein phosphatase type 2C one” (DAPP1) that functions as a negative regulator of a plant defense pathway by contacting the gene or gene mRNA with an interfering nucleotide sequence that interacts with the gene and reducing expression thereof. Plants including such interfering nucleotide sequence exhibit increased disease resistance to pathogen even in the absence of R genes. Close homologs of DAPP1 exist in multiple crop species, and as such, the controlled down-regulation of homologous genes in a variety of crop species will enhance disease resistance of target crop species to pathogens.",True
725,Alanine transaminase enzymes and methods of use,2011,"Novel alanine transaminase (ALT) polypeptides and the use thereof as a diagnostic marker to predict and monitor tissue damage and/or tissue malfunction. The ALT polypeptides are murine and/or rattus ALT polypeptides and said ALT polypeptides are used to detect, predict and/or determine hepatic processes of an animal, particularly mice and/or rats.",True
726,Adaptive energy absorption system for a vehicle seat,2011,"An adaptive energy absorption system for a vehicle seat is disclosed, utilizing an adaptive energy absorber or variable profile energy absorber (VPEA) for mitigating occupant injury due to extreme vehicle movement (e.g., during a vehicle shock event), and/or for mitigating vibration experienced by an occupant of the vehicle seat during normal vehicle operating conditions. The adaptive energy absorption system achieves the aforementioned objectives for a wide range of occupant weights and load levels. Various configurations of dual-goal energy absorption apparatuses that enable both shock mitigation and vibration isolation are disclosed.",False
727,Platform for analysis liquid samples,2011,"The present application relates to apparatus for sampling and analysis of analytes in a liquid sample. A liquid sample is pre-concentrated using a chromatographic column prior to analysis via a two stage analysis apparatus. A high-performance liquid chromatography system with ultra violet detection may be used in conjunction with electrochemical detection for the analysis of environmental contaminants, including explosive residues. The present invention also provides for on-site analysis of such contaminants. The present invention also provides for methods of analyzing the components of a liquid sample, including methods for on-site analysis.",False
728,Method for fast roaming in a wireless network,2011,"A roaming service method for a fast and secure wireless network is provided. In an embodiment of the present invention, an AP, which an STA associates with, transmits proactive keys needed for roaming to neighbor APs of the AP. When the STA moves to one of the neighbor APs, a reassociation is carried out between the STA and the neighbor AP using the already provided proactive key. In another embodiment of the present invention, an authentication server transmits proactive keys needed for roaming to neighbor APs to which the STA is likely to move, so that when the STA moves to one of the neighbor APs, a reassociation is carried out between the STA and the neighbor AP using the already provided proactive key.",False
729,Cellular support structures used for controlled actuation of fluid contact surfaces,2011,"An assembly for controlling a vehicle, including a fluid contact surface constructed and arranged to act against a fluid passing over the fluid contact surface; and a support structure coupled to the fluid contact surface. The support structure is constructed and arranged to expand or contract between a first position and a second position, such that a first dimension of the support structure changes during movement of the support structure between the first position and the second position, while a second dimension of the support structure remains substantially constant during the movement of the support structure between the first position and the second position.",False
730,Optical fiber probe tips and methods for fabricating same,2011,"Optical fiber probe tips and methods for fabricating the same are presented. One method entails immersing a distal end of an optical fiber having a cladding and a core into an etching solution and simultaneously etching the cladding and the core using the etching solution for tapering the cladding and the core to form a tapered cladding and a tapered core tip. The optical fiber probe tips are suitable for near-field, scanning, optical microscopy (NSOM).",False
731,Genetic polymorphisms for identifying individuals at risk for drug-induced vestibular dysfunction,2011,"In this application is described the identification of genetic variants that contribute to susceptibility to drug-induced vestibular dysfunction, more particularly, GM-induced vestibular dysfunction. Methods, compositions and kits for determining whether an individual has susceptibility for drug-induced vestibular dysfunction are disclosed.",True
732,Metal enhanced fluorescence-based sensing methods,2011,The present invention relates to metallic-surface detection systems for determining target substances including free bilirubin in neonatal serum in the presence of a predominantly high background of bilirubin bound Human Serum Albumin (HSA) or sensing and isolating target nucleotide sequences wherein a fluorescence signal is enhanced by close proximity of the target substances near metallic surfaces.,False
733,TWEAK as a therapeutic target for treating central nervous system diseases associated with cerebral edema and cell death,2011,"The present invention is directed to compositions and methods for treating cerebral edema and cell death in neurological conditions characterized by disruption of the architecture of the neurovascular unit with increase in the permeability of the NVU, particularly for treating stroke. One aspect of the present invention relates to a composition comprising an agent that interferes with a TWEAK-mediated signaling pathway. Another aspect of the present invention relates to a method of using a composition which comprises an agent that inhibits Fn14 activity or Fn14 expression for the prevention and/or treatment of cerebral edema and cell death occurring in certain neurological conditions such as cerebral ischemia.",True
734,Passively mode locked quantum cascade lasers,2011,"This invention relates to a self-induced transparency mode-locked quantum cascade laser having an active section comprising a plurality of quantum well layers deposited in alternating layers on a plurality of quantum barrier layers and form a sequence of alternating gain and absorbing periods, said alternating gain and absorbing periods interleaved along the growth axis of the active section.",False
735,Sensor system with surface-plasmon-polariton (SPP) enhanced selective fluorescence excitation and method,2011,"In a sensor system, an active sensor chip includes an array of periodically-patterned dielectric active sensor patches of different periodicities and geometries formed on a metal film. A specimen under study is positioned on each patch, and the active sensor chip is interrogated by illumination the patches in a predetermined sequence to result in a fluorescence response from each patch enhanced by SPP. The intensity of the fluorescence response is controlled by varying the wavelength, incidence angle, azimuthal orientation and polarization direction of the excitation light beam as the function of the periodicity of the illuminated patch. The system is compatible with commercial fluorescence microscopes and scanned laser interrogation systems.",False
736,Salmonella based oral vaccines for anthrax,2011,"A vaccine for the prevention of anthrax, including a live, attenuated Salmonella and at least one nucleotide sequence encoding anthrax protective antigen (PA) or a fragment thereof and a nonlethal mutated form of anthrax lethal factor (LF) or a fragment thereof. In another implementation, the vaccine is constituted for the prevention of anthrax and at least one additional pathogen, as including a live, attenuated Salmonella and at least one nucleotide sequence encoding at least a fragment of a nonlethal mutated form of anthrax lethal factor (LF) and at least one nucleotide sequence encoding at least a fragment of an antigen of an additional pathogen. Vaccines of such types can be administered to stimulate antibody response in a subject, whereby the antibody response confers immunity to the subject.",True
